asset_id,asset_type,region,acquisition_date,acquisition_value,book_value
AST-0001,Excavator,APAC,2023-05-29,548921.38,408036.57
AST-0002,Delivery Van,North America,2018-10-19,219484.7,82189.5
AST-0003,Forklift,Middle East,2020-09-03,580044.07,304292.71
AST-0004,Excavator,North America,2020-04-14,367304.72,181257.33
AST-0005,Excavator,Middle East,2024-02-19,197562.71,158374.93
AST-0006,Office Fitout,EMEA,2023-09-08,181029.44,138613.99
AST-0007,Generator,North America,2025-04-20,390089.55,349135.49
AST-0008,Delivery Van,LATAM,2019-04-07,648604.15,267047.21
AST-0009,Delivery Van,EMEA,2021-10-10,299109.18,183267.88
AST-0010,Server Rack,North America,2018-11-01,814272.92,307237.44
AST-0011,Forklift,APAC,2020-04-01,92442.78,45355.21
AST-0012,Generator,North America,2022-05-27,722657.8,479052.83
AST-0013,Forklift,LATAM,2018-10-23,624326.04,234336.08
AST-0014,Generator,Middle East,2020-02-07,80798.17,38685.72
AST-0015,Server Rack,Middle East,2023-06-27,754352.21,565536.82
AST-0016,Forklift,North America,2022-09-12,175560.97,120535.83
AST-0017,Generator,North America,2020-04-06,567154.87,278884.81
AST-0018,Forklift,LATAM,2023-01-11,729190.3,519982.61
AST-0019,Server Rack,EMEA,2024-09-06,247107.96,208924.7
AST-0020,Crane,APAC,2018-08-29,324101.11,117741.94
AST-0021,Forklift,Middle East,2024-08-27,601019.96,506832.72
AST-0022,Crane,EMEA,2023-11-06,545206.87,424514.5
AST-0023,Generator,Middle East,2021-02-28,400987.28,226003.02
AST-0024,Server Rack,North America,2019-10-11,198378.67,89808.47
AST-0025,Excavator,APAC,2025-10-15,206255.14,192647.95
AST-0026,Forklift,EMEA,2021-02-18,349972.6,196483.25
AST-0027,Server Rack,EMEA,2019-04-23,777468.66,322830.55
AST-0028,Office Fitout,LATAM,2019-05-03,562291.29,234714.25
AST-0029,Delivery Van,EMEA,2024-12-19,134297.78,116607.27
AST-0030,Generator,Middle East,2023-02-20,637065.8,459874.24
AST-0031,Office Fitout,APAC,2024-08-30,372742.25,314574.03
AST-0032,Delivery Van,Middle East,2024-01-31,198132.83,158006.86
AST-0033,Excavator,North America,2022-08-19,427085.72,290979.94
AST-0034,Delivery Van,LATAM,2025-11-28,142622.5,134588.75
AST-0035,Office Fitout,LATAM,2021-06-13,513001.54,300942.16
AST-0036,Fleet Truck,Middle East,2022-10-02,512566.84,354162.62
AST-0037,Excavator,North America,2024-10-30,224930.79,192836.56
AST-0038,Generator,APAC,2023-04-02,584228.16,426982.75
