lease_id,asset_id,lessee,region,start_date,end_date,term_months,monthly_rent,status,termination_date
LSE-00001,AST-0063,Meadows PLC,APAC,2024-09-01,2025-08-27,12,7847.94,Active,
LSE-00002,AST-0319,Miller Group,Middle East,2024-05-20,2028-04-29,48,10121.91,Active,
LSE-00003,AST-0256,White-Green,LATAM,2022-04-11,2027-03-16,60,7767.48,Active,
LSE-00004,AST-0295,Murphy-Juarez,LATAM,2023-03-21,2025-03-10,24,5436.25,Terminated,2024-03-13
LSE-00005,AST-0315,King-Miller,Middle East,2023-06-22,2026-06-06,36,5290.53,Active,
LSE-00006,AST-0341,"Williams, Crane and Walker",North America,2021-09-14,2022-09-09,12,4646.94,Active,
LSE-00007,AST-0489,"Williams, Johnson and Wright",LATAM,2021-12-12,2026-11-16,60,9543.74,Active,
LSE-00008,AST-0260,"Hernandez, Martinez and Caldwell",APAC,2025-09-26,2030-08-31,60,10543.31,Active,
LSE-00009,AST-0023,Marshall LLC,Middle East,2024-05-19,2028-04-28,48,3416.98,Expired,
LSE-00010,AST-0009,Obrien Ltd,EMEA,2025-05-19,2028-05-03,36,4465.23,Expired,
LSE-00011,AST-0376,Oconnell Inc,Middle East,2025-02-21,2026-02-16,12,8954.65,Expired,
LSE-00012,AST-9993,Johnston-Odonnell,LATAM,2024-06-15,2026-06-05,24,6779.16,Active,
LSE-00013,AST-0417,"Gonzalez, Vargas and Rivas",Middle East,2023-06-16,2025-06-05,24,8373.85,Expired,
LSE-00014,AST-0357,"Barton, Jefferson and Burke",LATAM,2022-10-21,2026-09-30,48,1225.66,Terminated,2023-09-22
LSE-00015,AST-0398,"Patton, Reed and Patterson",APAC,2022-03-16,2026-02-23,48,2818.3,Active,
LSE-00016,AST-0406,"Holland, Smith and Fisher",EMEA,2023-06-07,2025-05-27,24,4129.35,Expired,
LSE-00017,AST-0159,Yu-Reid,APAC,2024-01-08,2028-12-12,60,9877.17,Active,
LSE-00018,AST-0243,"Hernandez, Thompson and Boyd",EMEA,2025-09-07,2028-08-22,36,7939.36,Active,
LSE-00019,AST-0147,"Morton, Medina and Webb",North America,2024-10-22,2027-10-07,36,1049.75,Expired,
LSE-00020,AST-0336,"Vargas, Morris and Sanchez",EMEA,2023-10-02,2026-09-16,36,9692.44,Active,
LSE-00021,AST-0224,Keith-Sanchez,APAC,2026-03-16,2030-02-23,48,4398.92,Terminated,2028-07-14
LSE-00022,AST-0096,"Barnett, Rogers and Snyder",EMEA,2023-11-23,2027-11-02,48,11129.57,Terminated,2026-02-12
LSE-00023,AST-0266,Lewis-Salinas,LATAM,2023-03-17,2026-03-01,36,8861.44,Expired,
LSE-00024,AST-0041,"Haynes, Hill and Smith",APAC,2023-04-14,2027-03-24,48,6772.96,Terminated,2024-06-16
LSE-00025,AST-0165,Allen Group,LATAM,2026-04-09,2027-04-04,12,8100.57,Active,
LSE-00026,AST-0157,Vaughn Ltd,Middle East,2024-01-05,2027-12-15,48,2416.41,Terminated,2026-07-25
LSE-00027,AST-0228,Mcguire-Davis,APAC,2025-02-09,2028-01-25,36,8858.37,Active,
LSE-00028,AST-0467,"Sanchez, Beck and Wood",APAC,2022-09-12,2025-08-27,36,3657.39,Terminated,2024-01-30
LSE-00029,AST-0406,Coleman-Reese,EMEA,2024-05-01,2025-04-26,12,7831.39,Active,
LSE-00030,AST-0187,"Chavez, Parker and Hall",Middle East,2023-03-28,2028-03-01,60,8313.22,Expired,
LSE-00031,AST-0488,Wilson-Herrera,LATAM,2025-02-26,2026-02-21,12,7487.09,Active,
LSE-00032,AST-0401,Lee Ltd,North America,2025-05-10,2029-04-19,48,1273.18,Active,
LSE-00033,AST-0399,"Lawrence, Wolf and Carlson",EMEA,2023-12-28,2026-12-12,36,11418.87,Active,
LSE-00034,AST-0017,Phillips LLC,North America,2026-06-06,2031-05-11,60,5674.11,Active,
LSE-00035,AST-0190,Erickson and Sons,EMEA,2022-06-29,2025-06-13,36,1384.18,Active,
LSE-00036,AST-0071,Tran Ltd,North America,2022-12-16,2027-11-20,60,4115.43,Active,
LSE-00037,AST-0143,"Oneill, Henry and Salas",North America,2026-04-02,2028-03-22,24,798.0,Expired,
LSE-00038,AST-0096,Mendoza-Peterson,EMEA,2024-06-07,2028-05-17,48,11005.74,Active,
LSE-00039,AST-0061,Everett-Woods,EMEA,2026-05-11,2029-04-25,36,8596.43,Expired,
LSE-00040,AST-0110,Vasquez-Ray,EMEA,2025-08-26,2030-07-31,60,11039.51,Active,
LSE-00041,AST-0252,Hernandez PLC,EMEA,2024-12-25,2026-12-15,24,10307.5,Active,
LSE-00042,AST-0232,Mcknight Inc,LATAM,2026-04-11,2028-03-31,24,5618.78,Expired,
LSE-00043,AST-0045,Obrien-Gibbs,North America,2024-05-09,2027-04-24,36,1246.8,Terminated,2026-07-04
LSE-00044,AST-0278,"James, Kerr and Evans",Middle East,2022-09-20,2025-09-04,36,10290.66,Expired,
LSE-00045,AST-0365,Torres-Oliver,North America,2024-07-02,2026-06-22,24,6350.69,Expired,
LSE-00046,AST-0063,"Garcia, Farmer and Garrett",APAC,2024-08-09,2026-07-30,24,3222.47,Expired,
LSE-00047,AST-0253,Moore and Sons,North America,2022-11-29,2023-11-24,12,7081.19,Active,
LSE-00048,AST-0240,Smith Group,APAC,2024-04-28,2029-04-02,60,10668.83,Active,
LSE-00049,AST-0034,Carter-Hall,LATAM,2024-12-31,2027-12-16,36,8744.74,Active,
LSE-00050,AST-0246,"Heath, Jones and Hall",LATAM,2025-01-31,2030-01-05,60,5208.49,Active,
LSE-00051,AST-0295,"Lawrence, Lara and Gonzalez",LATAM,2022-11-29,2023-11-24,12,4145.82,Active,
LSE-00052,AST-0038,Holland LLC,APAC,2022-03-05,2026-02-12,48,6449.64,Active,
LSE-00053,AST-0066,Brown LLC,North America,2025-09-03,2030-08-08,60,9329.49,Terminated,2026-11-09
LSE-00054,AST-0067,"Morse, Gonzales and Harrison",Middle East,2024-07-14,2028-06-23,48,10484.43,Active,
LSE-00055,AST-0426,Bender-Mason,APAC,2023-02-08,2024-02-03,12,3997.43,Active,
LSE-00056,AST-9338,George Group,EMEA,2024-01-14,2026-12-29,36,3092.91,Expired,
LSE-00057,AST-0486,"Wright, Davis and Hayden",North America,2025-03-22,2030-02-24,60,10228.24,Expired,
LSE-00058,AST-0129,"Matthews, Smith and Hubbard",LATAM,2025-09-20,2027-09-10,24,3656.19,Terminated,2027-06-06
LSE-00059,AST-0321,"Williams, Avila and Ruiz",EMEA,2025-08-25,2028-08-09,36,6279.59,Terminated,2026-01-27
LSE-00060,AST-0087,White-Richards,EMEA,2024-10-24,2029-09-28,60,2273.23,Expired,
LSE-00061,AST-0338,Costa-Harrison,North America,2024-09-24,2029-08-29,60,4382.63,Terminated,2028-04-15
LSE-00062,AST-0474,Santiago-Hodge,EMEA,2023-08-14,2028-07-18,60,10433.48,Active,
LSE-00063,AST-0042,"Simpson, Bates and Morales",EMEA,2023-03-26,2024-03-20,12,9366.76,Expired,
LSE-00064,AST-0136,Gibson LLC,Middle East,2025-05-07,2027-04-27,24,5290.75,Expired,
LSE-00065,AST-0328,Cordova Group,EMEA,2022-11-07,2023-11-02,12,7712.39,Active,
LSE-00066,AST-0149,Sandoval PLC,LATAM,2025-11-11,2028-10-26,36,9753.91,Active,
LSE-00067,AST-0351,Lopez LLC,North America,2023-11-18,2027-10-28,48,1339.19,Active,
LSE-00068,AST-0031,Garrett-Wolf,APAC,2024-09-02,2026-08-23,24,6068.89,Active,
LSE-00069,AST-0105,"Anderson, Roberts and Gilmore",North America,2022-08-11,2025-07-26,36,10407.08,Terminated,2023-08-26
LSE-00070,AST-0164,Dudley PLC,EMEA,2023-12-29,2026-12-13,36,2003.81,Expired,
LSE-00071,AST-0190,"Moore, Pierce and Tran",EMEA,2025-07-16,2030-06-20,60,3279.99,Terminated,2027-06-29
LSE-00072,AST-0063,Murray Inc,APAC,2022-01-25,2025-01-09,36,2120.09,Active,
LSE-00073,AST-0026,Jimenez Ltd,EMEA,2024-10-17,2027-10-02,36,10437.88,Expired,
LSE-00074,AST-0215,"Hill, Davenport and Baird",LATAM,2023-01-17,2025-01-06,24,10876.57,Expired,
LSE-00075,AST-0417,"Thomas, Lee and Greene",Middle East,2022-10-22,2025-10-06,36,8792.98,Expired,
LSE-00076,AST-0098,Shields LLC,Middle East,2025-04-12,2027-04-02,24,6419.34,Active,
LSE-00077,AST-0256,Morgan-French,LATAM,2025-05-29,2028-05-13,36,1535.56,Active,
LSE-00078,AST-0202,Campbell LLC,EMEA,2022-12-03,2027-11-07,60,3268.38,Active,
LSE-00079,AST-0299,"Duarte, Burns and Hernandez",North America,2025-09-23,2028-09-07,36,3735.6,Active,
LSE-00080,AST-0306,Cook-Hines,EMEA,2024-04-04,2028-03-14,48,594.04,Active,
LSE-00081,AST-0056,Kane-Pollard,LATAM,2023-06-19,2027-05-29,48,3541.44,Active,
LSE-00082,AST-0188,Hall-Rowe,APAC,2022-10-13,2026-09-22,48,5106.69,Active,
LSE-00083,AST-0292,"Kennedy, Mcintyre and James",EMEA,2021-10-28,2026-10-02,60,6862.06,Active,
LSE-00084,AST-0038,"Pollard, Simpson and Johnson",APAC,2026-06-21,2030-05-31,48,9290.65,Active,
LSE-00085,AST-0144,"Rivera, Garcia and Kirk",North America,2024-01-30,2029-01-03,60,1979.63,Terminated,2024-11-28
LSE-00086,AST-0050,Smith-Thomas,APAC,2022-02-06,2026-01-16,48,11848.06,Active,
LSE-00087,AST-0286,Jones LLC,APAC,2025-11-22,2028-11-06,36,2789.17,Expired,
LSE-00088,AST-0261,"Sanders, Miller and Murphy",LATAM,2023-04-11,2027-03-21,48,1020.99,Active,
LSE-00089,AST-0071,"James, Stewart and Higgins",North America,2024-12-04,2027-11-19,36,6472.33,Expired,
LSE-00090,AST-0077,"Johnson, Jones and Welch",EMEA,2025-05-05,2030-04-09,60,2107.48,Expired,
LSE-00091,AST-0477,Francis Group,Middle East,2026-02-19,2031-01-24,60,5018.98,Active,
LSE-00092,AST-0316,"Padilla, Garcia and Jackson",APAC,2026-06-03,2029-05-18,36,10025.33,Terminated,2028-01-03
LSE-00093,AST-0273,Williams Inc,LATAM,2023-01-30,2027-01-09,48,5961.26,Terminated,2024-12-03
LSE-00094,AST-0009,Jordan-Sanchez,EMEA,2023-01-19,2026-01-03,36,1760.45,Active,
LSE-00095,AST-0214,"Sparks, Jackson and Miller",LATAM,2023-08-21,2028-07-25,60,10835.82,Active,
LSE-00096,AST-0447,"Vega, Jimenez and Aguilar",APAC,2025-11-22,2026-11-17,12,11621.31,Terminated,2026-06-05
LSE-00097,AST-0401,"King, Scott and Smith",North America,2022-10-02,2027-09-06,60,1090.58,Terminated,2026-12-17
LSE-00098,AST-9507,Byrd-Moore,LATAM,2025-07-26,2027-07-16,24,8793.6,Active,
LSE-00099,AST-0397,Huerta-Evans,North America,2023-10-13,2027-09-22,48,8328.36,Active,
LSE-00100,AST-0017,"Wright, Bruce and Gonzalez",North America,2026-05-04,2031-04-08,60,1763.8,Expired,
LSE-00101,AST-0010,Rodriguez-James,North America,2023-07-02,2027-06-11,48,2241.46,Active,
LSE-00102,AST-0354,Haney-Phillips,LATAM,2023-05-17,2025-05-06,24,9412.18,Active,
LSE-00103,AST-0472,"Foster, Smith and Grimes",APAC,2026-06-02,2030-05-12,48,8962.13,Expired,
LSE-00104,AST-0032,Lozano Ltd,Middle East,2025-06-08,2027-05-29,24,6950.2,Active,
LSE-00105,AST-0340,Parsons-Hall,LATAM,2024-01-20,2027-12-30,48,4108.15,Active,
LSE-00106,AST-0089,Fields PLC,APAC,2025-07-21,2029-06-30,48,4436.76,Expired,
LSE-00107,AST-0182,"Saunders, Becker and Taylor",North America,2022-11-04,2025-10-19,36,11509.38,Terminated,2023-07-18
LSE-00108,AST-0143,"Lucas, Parker and Alexander",North America,2022-02-01,2027-01-06,60,11327.08,Active,
LSE-00109,AST-0153,"Anderson, Browning and Murphy",North America,2024-06-16,2027-06-01,36,8607.36,Terminated,2026-07-22
LSE-00110,AST-0163,Anderson PLC,EMEA,2023-08-27,2027-08-06,48,11237.55,Active,
LSE-00111,AST-0408,Schmidt-Mcintyre,North America,2025-12-02,2028-11-16,36,7094.98,Active,
LSE-00112,AST-0279,Sloan-Raymond,North America,2025-09-10,2029-08-20,48,5037.12,Expired,
LSE-00113,AST-0177,Francis-Morgan,LATAM,2026-05-14,2028-05-03,24,3807.75,Active,
